,City,Latitude,Longitute,Max Temperature,Humidity,Cloudiness,Wind Speed,County,Date
0,Bathsheba,13.22,-59.52,82.4,74,20,12.75,BB,1595213143
1,Bengkulu,-3.8,102.27,84.87,66,0,4.56,ID,1595213143
2,Punta Arenas,-53.15,-70.92,33.8,80,96,4.7,CL,1595212876
3,Gamba,-2.65,10.0,71.96,82,100,4.21,GA,1595212851
4,Coolum Beach,-26.53,153.1,73.99,35,0,3.0,AU,1595213144
5,Bay Roberts,47.6,-53.26,61.0,1,0,9.04,CA,1595213144
6,Port Alfred,-33.59,26.89,62.53,31,0,7.99,ZA,1595213144
7,Ushuaia,-54.8,-68.3,26.6,92,0,5.82,AR,1595213144
8,Jamestown,42.1,-79.24,71.01,88,20,10.29,US,1595212976
9,Fortuna,40.6,-124.16,55.99,100,90,6.93,US,1595213144
10,Bluff,-46.6,168.33,46.2,78,99,3.4,NZ,1595213144
11,Songjianghe,42.19,127.48,64.9,95,100,3.94,CN,1595213144
12,Hermanus,-34.42,19.23,54.0,93,10,1.99,ZA,1595213144
13,Butaritari,3.07,172.79,83.16,79,0,16.08,KI,1595213145
14,Tazovsky,67.47,78.7,54.1,67,46,12.24,RU,1595213055
15,Saint Paul Harbor,57.79,-152.41,57.2,87,90,18.34,US,1595213145
16,Bella Union,-30.28,-57.6,66.58,77,1,9.71,UY,1595213145
17,Rikitea,-23.12,-134.97,68.88,59,2,11.63,PF,1595213145
18,Vaini,-21.2,-175.2,69.8,94,90,4.7,TO,1595213145
19,Lavrentiya,65.58,-171.0,47.3,75,100,10.4,RU,1595213145
20,Codajás,-3.84,-62.06,75.63,81,30,1.95,BR,1595213145
21,Kirkland Lake,48.14,-80.04,69.8,64,1,12.75,CA,1595213145
22,Qaanaaq,77.48,-69.36,45.45,75,99,1.77,GL,1595213145
23,Abhā,18.22,42.51,57.2,87,75,13.87,SA,1595213146
24,Longyearbyen,78.22,15.64,44.6,87,75,11.41,SJ,1595213147
25,Fairbanks,64.84,-147.72,73.4,46,20,8.05,US,1595213147
26,Blythe,33.61,-114.6,111.2,7,75,12.75,US,1595213147
27,Sangar,63.92,127.47,78.31,56,88,13.76,RU,1595212882
28,Albany,42.6,-73.97,80.01,51,97,4.36,US,1595213147
29,Kalmunai,7.42,81.82,84.97,66,99,2.15,LK,1595213147
30,Bambous Virieux,-20.34,57.76,70.0,72,75,16.11,MU,1595213147
31,Mataura,-46.19,168.86,49.57,75,100,2.19,NZ,1595213147
