,City,Latitude,Longitute,Max Temperature,Humidity,Cloudiness,Wind Speed,County,Date
0,Ushuaia,-54.8,-68.3,24.8,100,0,3.8,AR,1595220527
1,Tual,-5.67,132.75,78.69,84,72,19.6,ID,1595220527
2,Rio Grande,-32.03,-52.1,62.01,90,27,7.29,BR,1595220527
3,Bayeux,-7.12,-34.93,73.36,89,18,9.24,BR,1595220527
4,Narsaq,60.92,-46.05,50.0,61,56,4.7,GL,1595220527
5,Podhum,43.72,17.0,68.0,60,0,4.7,BA,1595220527
6,Besskorbnaya,44.64,41.31,75.0,5,0,5.99,RU,1595220527
7,Yellowknife,62.46,-114.35,64.99,82,75,2.24,CA,1595220368
8,Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595220527
9,Lebu,-37.62,-73.65,50.49,87,8,11.5,CL,1595220296
10,Kapaa,22.08,-159.32,80.6,78,90,18.34,US,1595220288
11,Lucea,18.45,-78.17,80.6,78,20,3.36,JM,1595220528
12,Hermanus,-34.42,19.23,55.99,88,25,5.99,ZA,1595220528
13,Makakilo City,21.35,-158.09,82.4,61,1,11.41,US,1595220528
14,East London,-33.02,27.91,48.2,66,0,8.05,ZA,1595220528
15,Punta Arenas,-53.15,-70.92,32.0,94,98,6.93,CL,1595220363
16,New Norfolk,-42.78,147.06,50.0,76,63,4.0,AU,1595220529
17,Port Blair,11.67,92.75,86.0,70,40,6.93,IN,1595220529
18,Fort Nelson,58.81,-122.7,68.0,72,20,2.24,CA,1595220326
19,Puerto Ayora,-0.74,-90.35,70.0,92,77,7.0,EC,1595220529
20,Richards Bay,-28.78,32.04,55.67,75,0,7.18,ZA,1595220529
21,Thinadhoo,0.53,72.93,83.86,76,100,14.63,MV,1595220529
22,Nhamundá,-2.19,-56.71,74.53,71,0,2.77,BR,1595220529
23,Rikitea,-23.12,-134.97,68.86,58,2,11.3,PF,1595220529
24,Hobart,-42.88,147.33,51.01,63,75,16.11,AU,1595220278
25,Zhangaözen,43.3,52.8,94.91,15,0,14.94,KZ,1595220530
26,Pandan,14.05,124.17,87.51,62,67,6.91,PH,1595220530
27,Pevek,69.7,170.31,50.31,52,0,6.15,RU,1595220530
28,Baní,18.28,-70.33,81.0,82,97,5.01,DO,1595220248
29,Riyadh,24.69,46.72,93.2,21,27,6.93,SA,1595220375
